,幣別,幣別,現金匯率,現金匯率,Unnamed: 4_level_0,即期匯率,即期匯率,Unnamed: 7_level_0,遠期匯率,歷史匯率,歷史匯率,現金匯率,現金匯率,Unnamed: 13_level_0,即期匯率,即期匯率,Unnamed: 16_level_0
,幣別,Unnamed: 1_level_1,本行買入,本行賣出,本行買入,本行賣出,Unnamed: 6_level_1,本行買入,遠期匯率,歷史匯率,本行賣出,本行買入.1,本行賣出.1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1
0,美金 (USD)  美金 (USD),30.28,30.95,30.605,30.755,查詢,查詢,30.28,30.95,30.605,30.755,,,,,,
1,港幣 (HKD)  港幣 (HKD),3.753,3.957,3.874,3.944,查詢,查詢,3.753,3.957,3.874,3.944,,,,,,
2,英鎊 (GBP)  英鎊 (GBP),36.87,38.99,37.765,38.395,查詢,查詢,36.87,38.99,37.765,38.395,,,,,,
3,澳幣 (AUD)  澳幣 (AUD),19.95,20.73,20.165,20.51,查詢,查詢,19.95,20.73,20.165,20.51,,,,,,
4,加拿大幣 (CAD)  加拿大幣 (CAD),22.03,22.94,22.36,22.69,查詢,查詢,22.03,22.94,22.36,22.69,,,,,,
5,新加坡幣 (SGD)  新加坡幣 (SGD),22.34,23.25,22.81,23.03,查詢,查詢,22.34,23.25,22.81,23.03,,,,,,
6,瑞士法郎 (CHF)  瑞士法郎 (CHF),33.57,34.77,34.18,34.57,查詢,查詢,33.57,34.77,34.18,34.57,,,,,,
7,日圓 (JPY)  日圓 (JPY),0.2198,0.2326,0.2266,0.2316,查詢,查詢,0.2198,0.2326,0.2266,0.2316,,,,,,
8,南非幣 (ZAR)  南非幣 (ZAR),-,-,1.625,1.715,查詢,查詢,-,-,1.625,1.715,,,,,,
9,瑞典幣 (SEK)  瑞典幣 (SEK),2.59,3.11,2.92,3.04,查詢,查詢,2.59,3.11,2.92,3.04,,,,,,
10,紐元 (NZD)  紐元 (NZD),18.37,19.22,18.7,19,查詢,查詢,18.37,19.22,18.7,19,,,,,,
11,泰幣 (THB)  泰幣 (THB),0.7647,0.9547,0.8741,0.9201,查詢,查詢,0.7647,0.9547,0.8741,0.9201,,,,,,
12,菲國比索 (PHP)  菲國比索 (PHP),0.4864,0.6184,-,-,查詢,查詢,0.4864,0.6184,-,-,,,,,,
13,印尼幣 (IDR)  印尼幣 (IDR),0.00168,0.00238,-,-,查詢,查詢,0.00168,0.00238,-,-,,,,,,
14,歐元 (EUR)  歐元 (EUR),32.85,34.19,33.365,33.965,查詢,查詢,32.85,34.19,33.365,33.965,,,,,,
15,韓元 (KRW)  韓元 (KRW),0.02111,0.02501,-,-,查詢,查詢,0.02111,0.02501,-,-,,,,,,
16,越南盾 (VND)  越南盾 (VND),0.00106,0.00147,-,-,查詢,查詢,0.00106,0.00147,-,-,,,,,,
17,馬來幣 (MYR)  馬來幣 (MYR),5.859,7.379,-,-,查詢,查詢,5.859,7.379,-,-,,,,,,
18,人民幣 (CNY)  人民幣 (CNY),4.319,4.481,4.386,4.446,查詢,查詢,4.319,4.481,4.386,4.446,,,,,,
